EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,AirportCode,City,County,State,ZipCode
W-30967,Rain,Heavy,2017-03-29 10:27:00,2017-03-29 11:18:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30968,Rain,Light,2017-03-29 11:18:00,2017-03-29 12:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30969,Rain,Light,2017-03-29 16:16:00,2017-03-29 17:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30970,Rain,Light,2017-03-29 23:31:00,2017-03-30 00:00:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30971,Fog,Severe,2017-03-30 00:00:00,2017-03-30 00:09:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30972,Rain,Heavy,2017-03-30 00:09:00,2017-03-30 00:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30973,Precipitation,UNK,2017-03-30 00:54:00,2017-03-30 01:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30974,Rain,Light,2017-03-30 02:19:00,2017-03-30 02:38:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30975,Rain,Light,2017-03-30 03:26:00,2017-03-30 04:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30976,Rain,Light,2017-03-30 09:54:00,2017-03-30 10:11:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30977,Rain,Light,2017-03-30 15:17:00,2017-03-30 15:58:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30978,Rain,Light,2017-03-30 19:54:00,2017-03-30 20:12:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30979,Fog,Moderate,2017-04-01 17:54:00,2017-04-01 18:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30980,Rain,Light,2017-04-02 10:54:00,2017-04-02 11:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30981,Rain,Light,2017-04-02 18:54:00,2017-04-02 19:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30982,Rain,Light,2017-04-03 04:54:00,2017-04-03 08:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30983,Rain,Light,2017-04-03 09:37:00,2017-04-03 10:30:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30984,Rain,Light,2017-04-03 10:54:00,2017-04-03 13:25:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30985,Rain,Moderate,2017-04-03 13:25:00,2017-04-03 13:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30986,Rain,Heavy,2017-04-03 13:54:00,2017-04-03 14:16:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30987,Rain,Moderate,2017-04-03 14:16:00,2017-04-03 15:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30988,Rain,Light,2017-04-03 15:54:00,2017-04-03 17:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30989,Rain,Light,2017-04-04 19:54:00,2017-04-04 21:52:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30990,Rain,Light,2017-04-04 22:23:00,2017-04-04 22:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30991,Rain,Light,2017-04-04 23:35:00,2017-04-04 23:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30992,Rain,Light,2017-04-05 00:37:00,2017-04-05 02:17:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30993,Rain,Moderate,2017-04-05 02:17:00,2017-04-05 03:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30994,Rain,Light,2017-04-05 03:54:00,2017-04-05 04:46:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30995,Rain,Moderate,2017-04-05 04:46:00,2017-04-05 05:15:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30996,Rain,Light,2017-04-05 05:15:00,2017-04-05 05:29:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30997,Rain,Light,2017-04-05 05:54:00,2017-04-05 16:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30998,Fog,Severe,2017-04-08 16:34:00,2017-04-08 16:44:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30999,Rain,Light,2017-04-10 06:03:00,2017-04-10 06:18:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31000,Cold,Severe,2017-04-13 12:54:00,2017-04-13 16:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31001,Rain,Light,2017-04-14 10:46:00,2017-04-14 12:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31002,Rain,Light,2017-04-14 16:35:00,2017-04-14 16:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31003,Rain,Light,2017-04-16 05:43:00,2017-04-16 06:32:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31004,Rain,Moderate,2017-04-16 06:32:00,2017-04-16 07:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31005,Rain,Light,2017-04-16 07:54:00,2017-04-16 08:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31006,Rain,Moderate,2017-04-16 08:54:00,2017-04-16 09:04:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31007,Rain,Light,2017-04-16 09:04:00,2017-04-16 09:27:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31008,Rain,Light,2017-04-16 15:24:00,2017-04-16 15:43:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31009,Rain,Light,2017-04-17 04:54:00,2017-04-17 05:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31010,Rain,Light,2017-04-17 06:54:00,2017-04-17 07:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31011,Rain,Light,2017-04-20 12:14:00,2017-04-20 12:39:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31012,Cold,Severe,2017-04-20 18:54:00,2017-04-20 20:37:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31013,Rain,Light,2017-04-26 03:54:00,2017-04-26 05:50:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31014,Rain,Moderate,2017-04-26 05:50:00,2017-04-26 06:01:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31015,Rain,Light,2017-04-26 06:01:00,2017-04-26 08:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31016,Rain,Light,2017-04-26 10:54:00,2017-04-26 12:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31017,Rain,Light,2017-04-27 03:54:00,2017-04-27 04:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31018,Rain,Light,2017-04-28 01:54:00,2017-04-28 03:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31019,Rain,Light,2017-04-28 07:54:00,2017-04-28 10:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31020,Rain,Light,2017-04-28 11:54:00,2017-04-28 13:35:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31021,Rain,Light,2017-04-28 17:54:00,2017-04-28 18:13:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31022,Rain,Light,2017-04-29 11:54:00,2017-04-29 14:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31023,Rain,Moderate,2017-04-29 14:54:00,2017-04-29 15:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31024,Rain,Light,2017-04-29 15:54:00,2017-04-29 16:28:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31025,Rain,Moderate,2017-04-29 16:28:00,2017-04-29 17:14:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
